Category,avg_Margin
 Backpacks,0.15298020510049398
 Belt Buckles,0.1770884187036602
 Belts,0.15998330499148886
 Boots,0.15709831377676398
 Brooches & Pins,0.1552520606341686
 Casual Daypacks,0.16044591598948718
 Clutches,0.16237318105404341
 Crossbody Bags,0.1465568699420511
 Drawstring Bags,0.1806332487080258
 Fashion Sneakers,0.16890550985225852
 Flats,0.15694263093458216
 Hats & Caps,0.1543301313373331
 Heeled Sandals,0.1358666516295554
 Jewelry,0.1743520536398602
 Keyrings & Keychains,0.14419981212238386
 Kids' Backpacks,0.16927077865213885
 Luggage,0.16507037195158644
 Messenger Bags,0.1709726381045516
 Money Clips,0.1826785051892374
 Necklaces,0.17329761973676402
 Neckties,0.1586741489574459
 Outerwear,0.14321993137347028
 Oxfords,0.16484063550091796
 Platforms & Wedges,0.15589724589080667
 Pumps,0.1574667982111148
 Sandals,0.16250099714792515
 Shoelaces,0.15409283106264818
 Shoulder Bags,0.16291105712303627
 Slippers,0.17003244559693498
 Sports Duffels,0.18178255484512143
 Sun Hats,0.13050551490821774
 Sunglasses,0.1620400758482108
 Suspenders,0.1735845786088574
 Totes,0.1564288813372629
 Travel Duffels,0.16084134732640032
 Umbrellas,0.15357011812678084
 Visors,0.13814076630510305
 Waist Packs,0.1843174680480107
 Wallets,0.16009148937369416
 Wrist Watches,0.15307537724699452
