Campaign,Metric,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01
Campaign A,Clicks,14,153,NA,NA,NA
Campaign A,CTR,0.021638330757341576,0.02371357718536888,NA,NA,NA
Campaign A,Impressions,647,6452,NA,NA,NA
Campaign B,Clicks,NA,1583,1713,NA,NA
Campaign B,CTR,NA,0.048537437910099956,0.050498201756971874,NA,NA
Campaign B,Impressions,NA,32614,33922,NA,NA
Campaign C,Clicks,NA,21,NA,NA,NA
Campaign C,CTR,NA,0.021671826625386997,NA,NA,NA
Campaign C,Impressions,NA,969,NA,NA,NA
Campaign D,Clicks,NA,1078,1463,NA,NA
Campaign D,CTR,NA,0.04657190996673435,0.044565614719142194,NA,NA
Campaign D,Impressions,NA,23147,32828,NA,NA
Campaign E,Clicks,NA,834,1923,NA,NA
Campaign E,CTR,NA,0.03274826245729768,0.03252321274544624,NA,NA
Campaign E,Impressions,NA,25467,59127,NA,NA
Campaign F,Clicks,NA,NA,135,NA,NA
Campaign F,CTR,NA,NA,0.02105755732335049,NA,NA
Campaign F,Impressions,NA,NA,6411,NA,NA
Campaign H,Clicks,NA,115,703,NA,NA
Campaign H,CTR,NA,0.02998696219035202,0.02824087092757,NA,NA
Campaign H,Impressions,NA,3835,24893,NA,NA
Campaign I,Clicks,NA,NA,283,186,NA
Campaign I,CTR,NA,NA,0.022807865892972276,0.023676171079429736,NA
Campaign I,Impressions,NA,NA,12408,7856,NA
Campaign J,Clicks,NA,NA,1791,1087,NA
Campaign J,CTR,NA,NA,0.03159008730928653,0.028855853464295197,NA
Campaign J,Impressions,NA,NA,56695,37670,NA
Campaign L,Clicks,NA,NA,218,687,135
Campaign L,CTR,NA,NA,0.028190870296133454,0.028811071503459844,0.028589580686149935
Campaign L,Impressions,NA,NA,7733,23845,4722
