Campaign,Metric,2023-04-01,2023-05-01,2023-06-01,2023-07-01
Campaign B,Total_Clicks,1583,1713,NA,NA
Campaign B,Avg_CTR,0.048537437910099956,0.050498201756971874,NA,NA
Campaign B,Total_Impressions,32614,33922,NA,NA
Campaign D,Total_Clicks,1078,1463,NA,NA
Campaign D,Avg_CTR,0.04657190996673435,0.044565614719142194,NA,NA
Campaign D,Total_Impressions,23147,32828,NA,NA
Campaign E,Total_Clicks,834,1923,NA,NA
Campaign E,Avg_CTR,0.03274826245729768,0.03252321274544624,NA,NA
Campaign E,Total_Impressions,25467,59127,NA,NA
Campaign H,Total_Clicks,115,721,NA,NA
Campaign H,Avg_CTR,0.02998696219035202,0.027889524988395482,NA,NA
Campaign H,Total_Impressions,3835,25852,NA,NA
Campaign J,Total_Clicks,NA,1791,1087,NA
Campaign J,Avg_CTR,NA,0.03159008730928653,0.028855853464295197,NA
Campaign J,Total_Impressions,NA,56695,37670,NA
Campaign L,Total_Clicks,NA,241,725,135
Campaign L,Avg_CTR,NA,0.02550804403048264,0.028124757545193575,0.028589580686149935
Campaign L,Total_Impressions,NA,9448,25778,4722
