State,Count
Alabama ,5
Alaska ,2
Arizona ,11
Arkansas ,91
California ,90
Colorado ,35
Connecticut ,52
District of Columbia ,3
Florida ,191
Georgia ,75
Idaho ,112
Illinois ,114
Indiana ,14
Iowa ,3
Kansas ,41
Kentucky ,9
Louisiana ,113
Maryland ,4
Massachusetts ,95
Michigan ,132
Minnesota ,33
Mississippi ,5
Missouri ,9
Nevada ,6
New Jersey ,90
New Mexico ,54
New York ,53
North Carolina ,775
Ohio ,12
Oklahoma ,11
Oregon ,52
Pennsylvania ,117
South Carolina ,48
Tennessee ,30
Texas ,181
Utah ,4
Virginia ,29
Washington ,4
West Virginia ,15
Wisconsin ,6
